,Country,Ranking,Year,Total,Antidiscrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,LGBT Marketing,Equal Age of Consent,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Locals Hostile,Prosecution,Murders,Death Sentence,Trans Gender Rights,Intersex / 3rd Option,Conversion Therapy
1346,Barbados,131,2020,-9,0,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,-1
1347,Djibouti,131,2020,-9,0,-1,0,0,0,-2,0,0,0,0,-2,-1,0,0,-1,-1,-1
1348,Equatorial Guinea,131,2020,-9,0,-1,0,0,0,-2,-1,0,0,0,-2,0,0,0,-1,-1,-1
1349,Guatemala,131,2020,-9,0,-1,0,0,0,-1,0,0,0,0,-2,0,-2,0,-1,-1,-1
1350,Jordan,131,2020,-9,0,-1,0,0,0,-2,-1,0,0,0,-2,0,0,0,-1,-1,-1
1351,Korea North,131,2020,-9,0,-1,0,0,-1,-2,0,-1,0,0,-1,0,0,0,-1,-1,-1
1352,Madagascar,131,2020,-9,0,-1,0,0,-1,-1,0,0,0,0,-2,0,-2,0,0,-1,-1
1353,Trinidad & Tobago,131,2020,-9,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1
1354,Tunisia,131,2020,-9,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,-1
1355,Vatican City,131,2020,-9,0,-1,0,0,-1,-2,0,-1,0,0,0,-1,0,0,-1,-1,-1
1356,Belarus,147,2020,-10,0,-1,0,0,0,-1,-1,-1,0,-1,-2,-2,0,0,1,-1,-1
1357,Burundi,147,2020,-10,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1358,Dominican Republic,147,2020,-10,0,-1,0,0,0,-2,-1,-1,0,0,-1,0,-2,0,0,-1,-1
1359,Grenada,147,2020,-10,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1360,Guyana,147,2020,-10,0,-1,0,0,-1,-2,0,-1,-1,1,-1,-1,-1,0,0,-1,-1
1361,Ivory Coast,147,2020,-10,0,-1,0,0,-1,-2,0,-1,0,0,-2,0,0,0,-1,-1,-1
1362,Oman,147,2020,-10,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1
1363,Sweden,1,2014,9,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1364,United Kingdom,2,2014,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1365,Belgium,2,2014,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1366,France,2,2014,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1367,Netherlands,2,2014,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1368,Uruguay,6,2014,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1369,Iceland,6,2014,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1370,Denmark,6,2014,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,Canada,6,2014,7,2,2,2,1,1,0,-1,0,0,0,0,0,0,0,0,0,0
1372,New Zealand,10,2014,6,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1373,Norway,10,2014,6,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1374,Spain,10,2014,6,2,2,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1375,Austria,13,2014,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1376,Germany,13,2014,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1377,St. Maarten,13,2014,5,2,2,2,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1378,Switzerland,16,2014,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1379,Argentina,16,2014,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1380,Finland,16,2014,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1381,Luxembourg,16,2014,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1382,Portugal,16,2014,4,3,2,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1383,South Africa,21,2014,3,2,2,2,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0
1384,Slovenia,21,2014,3,1,1,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1385,Ireland,21,2014,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1386,Greenland,21,2014,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1387,French Polynesia,21,2014,3,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1388,Estonia,21,2014,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1389,Czech Republic,21,2014,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1390,Brazil,21,2014,3,1,2,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
1391,Australia,21,2014,3,1,1,1,1,1,0,-2,0,0,0,0,0,0,0,0,0,0
1392,USA,30,2014,2,1,1,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1393,Andorra,30,2014,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0
1394,Gibraltar,30,2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1395,Guadeloupe,30,2014,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1396,Liechtenstein,30,2014,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1397,Thailand,30,2014,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1398,Martinique,30,2014,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1399,New Caledonia,30,2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1400,Reunion,30,2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,Israel,30,2014,2,1,1,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1402,Hungary,40,2014,1,1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1403,Curacao,40,2014,1,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0
1404,Croatia,40,2014,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1405,Aruba,40,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1406,Cambodia,40,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1407,Bulgaria,40,2014,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1408,Mexico,40,2014,1,1,0,1,1,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1409,Malta,40,2014,1,1,0,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1410,Italy,40,2014,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1411,Vietnam,49,2014,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1412,Albania,49,2014,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,0,0,0
1413,China incl. Hong Kong,49,2014,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1414,Costa Rica,49,2014,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1415,Chile,49,2014,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1416,Guam,49,2014,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1417,Philippines,49,2014,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1418,Slovakia,49,2014,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1419,US Virgin Islands,49,2014,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1420,Bonaire,49,2014,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1421,Bosnia-Herzegovina,49,2014,0,1,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1422,Latvia,60,2014,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1423,Laos,60,2014,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1424,Kosovo,60,2014,-1,2,0,0,0,1,-2,0,0,0,0,-2,0,0,0,0,0,0
1425,Kazakhstan,60,2014,-1,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0
1426,Moldova,60,2014,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1427,Japan,60,2014,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1428,Azerbaijan,60,2014,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
1429,Montenegro,60,2014,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1430,Nicaragua,60,2014,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1431,Taiwan,60,2014,-1,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0
1432,Bermuda,60,2014,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1433,Bolivia,60,2014,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1434,British US Virgin Islands,60,2014,-1,1,0,0,0,1,-1,0,-1,0,0,-1,0,0,0,0,0,0
1435,Cyprus,60,2014,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1436,Fiji,60,2014,-1,1,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
1437,Greece,60,2014,-1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1438,Armenia,76,2014,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1439,Dominican Republic,76,2014,-2,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
1440,Ecuador,76,2014,-2,0,1,0,0,1,-1,-2,0,0,0,-1,0,0,0,0,0,0
1441,El Salvador,76,2014,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1442,Georgia,76,2014,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1443,Colombia,76,2014,-2,1,1,0,0,1,-1,-1,0,0,0,-1,0,-2,0,0,0,0
1444,Macedonia,76,2014,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1445,Mongolia,76,2014,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1446,Paraguay,76,2014,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1447,Puerto Rico,76,2014,-2,2,0,0,0,0,-1,0,0,0,0,-1,0,-2,0,0,0,0
1448,Ukraine,76,2014,-2,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,0,0
1449,Venezuela,76,2014,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1450,Vanuatu,76,2014,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
1451,Kyrgyzstan,76,2014,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1452,Lithuania,90,2014,-3,0,0,0,0,1,-1,0,-1,0,-1,-1,0,0,0,0,0,0
1453,Nepal,90,2014,-3,0,0,0,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0
1454,Korea South,90,2014,-3,0,0,0,0,1,-1,-2,0,0,0,-1,0,0,0,0,0,0
1455,Guatemala,90,2014,-3,0,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1456,Grenada,90,2014,-3,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0
1457,Cuba,90,2014,-3,0,0,0,0,1,0,-1,0,0,0,-1,0,-2,0,0,0,0
1458,Cape Verde,90,2014,-3,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0
1459,Panama,90,2014,-3,0,0,0,0,1,-1,-1,-1,0,0,0,-1,0,0,0,0,0
1460,Poland,90,2014,-3,1,0,0,0,0,-2,0,0,0,-1,-1,0,0,0,0,0,0
1461,Romania,90,2014,-3,0,0,0,0,1,-1,0,0,0,-2,-1,0,0,0,0,0,0
1462,Senegal,90,2014,-3,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0
1463,Serbia,90,2014,-3,0,0,0,0,1,-1,0,0,0,-1,-2,0,0,0,0,0,0
1464,Sri Lanka,90,2014,-3,0,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,0,0,0
1465,Turkey,90,2014,-3,0,0,0,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0
1466,Lebanon,90,2014,-3,0,0,0,0,1,-1,0,-1,-1,0,-1,0,0,0,0,0,0
1467,India,105,2014,-4,0,0,0,0,1,-1,-1,0,-1,0,-1,0,0,0,0,0,0
1468,Belize,105,2014,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0
1469,Honduras,105,2014,-4,0,0,0,0,1,-1,0,-1,0,0,-1,0,-2,0,0,0,0
1470,Barbados,105,2014,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
1471,Kenya,105,2014,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,0,0,0
1472,Mauritius,105,2014,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,0,0,0
1473,Myanmar,105,2014,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,0,0,0
1474,Peru,105,2014,-4,0,0,0,0,1,-2,0,-1,0,0,-2,0,0,0,0,0,0
1475,Saint Kitts & Nevis,105,2014,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
1476,Singapore,105,2014,-4,0,0,0,0,1,0,-3,-1,-1,0,0,0,0,0,0,0,0
1477,Tunisia,105,2014,-4,0,0,0,0,1,-1,0,-1,-1,0,-1,-1,0,0,0,0,0
1478,Zambia,105,2014,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,0,0,0
1479,Indonesia,105,2014,-4,0,0,0,0,1,-1,0,-1,0,0,-1,-2,0,0,0,0,0
1480,Namibia,118,2014,-5,0,0,0,0,1,0,-2,-1,-1,0,0,-2,0,0,0,0,0
1481,Madagascar,118,2014,-5,0,0,0,0,0,-1,0,0,0,0,-2,0,-2,0,0,0,0
1482,Belarus,118,2014,-5,0,0,0,0,1,-1,0,0,0,-1,-2,-2,0,0,0,0,0
1483,Oman,118,2014,-5,0,0,0,0,1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0
1484,Pakistan,118,2014,-5,0,0,0,0,1,-2,0,-1,-1,0,-1,-1,0,0,0,0,0
1485,Syria,118,2014,-5,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0
1486,Morocco,118,2014,-5,0,0,0,0,1,-1,0,-1,-1,0,-1,-2,0,0,0,0,0
1487,Bahamas,125,2014,-6,0,0,0,0,1,-1,-2,-1,0,0,-1,0,-2,0,0,0,0
1488,Zimbabwe,125,2014,-6,0,0,0,0,1,0,0,-1,-1,0,-1,-2,-2,0,0,0,0
1489,Vatican City,127,2014,-7,0,0,0,0,1,-2,0,-1,-1,0,-2,-2,0,0,0,0,0
1490,Bahrain,127,2014,-7,0,0,0,0,0,-2,-2,0,0,0,-2,-1,0,0,0,0,0
1491,Maldives,127,2014,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,0,0
1492,Malaysia,130,2014,-8,0,0,0,0,1,-2,-1,-2,-1,0,-1,-2,0,0,0,0,0
1493,Egypt,131,2014,-9,0,0,0,0,1,-2,-2,-1,-1,0,-1,-2,0,-1,0,0,0
1494,Nigeria,132,2014,-10,0,0,0,0,1,0,0,-2,-1,0,-1,-2,0,-5,0,0,0
1495,Tanzania,132,2014,-10,0,0,0,0,0,-1,-1,-1,-1,0,-2,-2,-2,0,0,0,0
1496,Russia,134,2014,-11,0,0,0,0,1,-1,-3,-2,0,-2,-1,-1,-2,0,0,0,0
1497,Jordan,134,2014,-11,0,0,0,0,1,-2,-3,-1,0,0,-2,-2,-2,0,0,0,0
1498,Jamaica,134,2014,-11,0,0,0,0,0,-1,0,-2,-2,0,-2,-2,-2,0,0,0,0
1499,United Arab Emirates,137,2014,-12,0,0,0,0,1,-1,-2,-1,-1,0,-1,-2,0,-5,0,0,0
1500,Iran,138,2014,-14,0,0,0,0,1,-2,0,-1,-1,0,-1,-2,-2,-5,0,0,0
1501,Sweden,1,2013,9,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1502,Belgium,2,2013,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1503,France,2,2013,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1504,Netherlands,2,2013,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1505,United Kingdom,2,2013,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1506,Denmark,6,2013,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1507,Iceland,6,2013,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1508,Uruguay,6,2013,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1509,Canada,9,2013,6,2,2,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
1510,New Zealand,9,2013,6,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1511,Norway,9,2013,6,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512,Spain,9,2013,6,2,2,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1513,Germany,13,2013,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1514,St. Maarten,13,2013,5,2,2,2,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1515,Argentina,15,2013,4,0,2,2,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1516,Austria,15,2013,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1517,Finland,15,2013,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1518,Luxembourg,15,2013,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1519,Portugal,15,2013,4,3,2,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1520,Switzerland,15,2013,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1521,Australia,21,2013,3,1,1,1,1,1,0,-2,0,0,0,0,0,0,0,0,0,0
1522,Brazil,21,2013,3,1,2,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
1523,Czech Republic,21,2013,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1524,Estonia,21,2013,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1525,French Polynesia,21,2013,3,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1526,Greenland,21,2013,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1527,Ireland,21,2013,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1528,Slovenia,21,2013,3,1,1,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1529,South Africa,21,2013,3,2,2,2,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0
1530,Andorra,30,2013,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0
1531,Gibraltar,30,2013,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1532,Guadeloupe,30,2013,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1533,Israel,30,2013,2,1,1,0,1,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1534,Liechtenstein,30,2013,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1535,Martinique,30,2013,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1536,New Caledonia,30,2013,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1537,Reunion,30,2013,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,Aruba,38,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1539,Bulgaria,38,2013,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1540,Cambodia,38,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1541,Croatia,38,2013,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1542,Curacao,38,2013,1,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0
1543,Hungary,38,2013,1,1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1544,Italy,38,2013,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1545,Mexico,38,2013,1,1,0,1,1,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1546,Thailand,38,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1547,USA,38,2013,1,1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1548,Albania,48,2013,0,2,0,0,0,1,-1,0,0,0,0,-2,0,0,0,0,0,0
1549,Bosnia-Herzegovina,48,2013,0,1,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1550,Bonaire,48,2013,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1551,China incl. Hong Kong,48,2013,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1552,Costa Rica,48,2013,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1553,Chile,48,2013,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1554,Guam,48,2013,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
1555,Malta,48,2013,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1556,Philippines,48,2013,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1557,Slovakia,48,2013,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1558,Vietnam,48,2013,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
1559,US Virgin Islands,48,2013,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1560,Azerbaijan,60,2013,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
1561,Bermuda,60,2013,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1562,Bolivia,60,2013,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1563,British US Virgin Islands,60,2013,-1,1,0,0,0,1,-1,0,-1,0,0,-1,0,0,0,0,0,0
1564,Cyprus,60,2013,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1565,Greece,60,2013,-1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1566,Japan,60,2013,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1567,Kazakhstan,60,2013,-1,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0
1568,Kosovo,60,2013,-1,2,0,0,0,1,-2,0,0,0,0,-2,0,0,0,0,0,0
1569,Laos,60,2013,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1570,Latvia,60,2013,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1571,Moldova,60,2013,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0
1572,Montenegro,60,2013,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0
1573,Nicaragua,60,2013,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1574,Armenia,74,2013,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1575,Colombia,74,2013,-2,1,1,0,0,1,-1,-1,0,0,0,-1,0,-2,0,0,0,0
1576,Dominican Republic,74,2013,-2,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
1577,Ecuador,74,2013,-2,0,1,0,0,1,-1,-2,0,0,0,-1,0,0,0,0,0,0
1578,El Salvador,74,2013,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1579,Fiji,74,2013,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
1580,Georgia,74,2013,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1581,Kyrgyzstan,74,2013,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1582,Macedonia,74,2013,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1583,Mongolia,74,2013,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
1584,Paraguay,74,2013,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1585,Puerto Rico,74,2013,-2,2,0,0,0,0,-1,0,0,0,0,-1,0,-2,0,0,0,0
1586,Taiwan,74,2013,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
1587,Ukraine,74,2013,-2,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,0,0
1588,Venezuela,74,2013,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
1589,Vanuatu,74,2013,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,0,0
1590,Cape Verde,90,2013,-3,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0
1591,Cuba,90,2013,-3,0,0,0,0,1,0,-1,0,0,0,-1,0,-2,0,0,0,0
1592,Grenada,90,2013,-3,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0
1593,Guatemala,90,2013,-3,0,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,0,0,0
1594,India,90,2013,-3,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0
1595,Korea South,90,2013,-3,0,0,0,0,1,-1,-2,0,0,0,-1,0,0,0,0,0,0
1596,Lebanon,90,2013,-3,0,0,0,0,1,-1,0,-1,-1,0,-1,0,0,0,0,0,0
1597,Lithuania,90,2013,-3,0,0,0,0,1,-1,0,-1,0,-1,-1,0,0,0,0,0,0
1598,Nepal,90,2013,-3,0,0,0,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0
1599,Poland,90,2013,-3,1,0,0,0,0,-2,0,0,0,-1,-1,0,0,0,0,0,0
1600,Romania,90,2013,-3,0,0,0,0,1,-1,0,0,0,-2,-1,0,0,0,0,0,0
1601,Senegal,90,2013,-3,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0
1602,Serbia,90,2013,-3,0,0,0,0,1,-1,0,0,0,-1,-2,0,0,0,0,0,0
1603,Sri Lanka,90,2013,-3,0,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,0,0,0
1604,Turkey,90,2013,-3,0,0,0,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0
1605,Zambia,104,2013,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,0,0,0
1606,Barbados,105,2013,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
1607,Belize,105,2013,-4,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0
